Timestamp,VerticalAccel_g
1738121283.3162918,-0.2683
1738121283.3183265,-0.2039
1738121283.3203292,-0.3672
1738121283.3769546,-0.5771
1738121283.3789487,-0.6764
1738121283.380987,-1.1668
1738121283.4366214,-0.981
1738121283.4376233,-1.2649
1738121283.4396222,-1.0037
1738121283.4967363,-1.0274
1738121283.4977376,-1.0418
1738121283.4997385,-1.3076
1738121283.556225,-5.3966
1738121283.5582275,-13.0822
1738121283.6161425,-8.6447
1738121283.6181755,-3.9297
1738121283.6196747,-81.629
1738121283.6215768,-11.3107
1738121283.6760743,-128.6496
1738121283.6780772,-75.3464
1738121283.6800747,7.2344
1738121283.7369132,-47.8341
1738121283.7379498,1.5478
1738121283.7399106,0.9422
1738121283.7968285,-3.2026
1738121283.7997804,1.1217
1738121283.801781,-1.629
1738121283.856854,0.4251
1738121283.8588502,-1.6756
1738121283.8608932,-1.1412
1738121283.9172714,-2.5933
1738121283.919316,-1.5981
1738121283.922267,-2.9634
1738121283.977108,-2.6467
1738121283.9791124,-2.6635
1738121283.981109,-2.3522
1738121284.0360558,-2.4487
1738121284.0380564,-2.3985
1738121284.0400581,-2.9042
1738121284.0961418,-3.0052
1738121284.0981522,-3.533
1738121284.0991762,-3.6839
1738121284.1561568,-3.9358
1738121284.1581707,-3.8616
1738121284.1600194,-3.9013
1738121284.2160704,-3.8244
1738121284.218108,-3.932
1738121284.2190728,-3.5004
1738121284.2763722,-3.4678
1738121284.279368,-3.305
1738121284.2813787,-3.2938
1738121284.3363378,-2.7539
1738121284.3383033,-2.6614
1738121284.3403015,-2.5869
1738121284.3960984,-2.4181
1738121284.3981001,-2.6672
1738121284.4557946,-1.9631
1738121284.4577956,-1.967
1738121284.4597962,-1.7333
1738121284.4617984,-1.8827
1738121284.516421,-1.219
1738121284.51842,-1.5184
1738121284.51943,-0.9827
1738121284.5762258,-0.9107
1738121284.5782225,-0.6016
1738121284.5802217,-0.6846
1738121284.6360767,-0.6033
1738121284.6380785,-0.3809
1738121284.6400788,-0.4842
1738121284.6957955,-0.1466
1738121284.6978035,-0.1532
1738121284.6998,-0.1084
1738121284.7563713,0.1566
1738121284.7573738,0.1503
1738121284.7593722,-0.0308
1738121284.8158772,-0.0225
1738121284.8179092,0.0827
1738121284.818874,-0.0293
1738121284.875947,-0.1844
1738121284.877952,-0.2588
1738121284.879951,-0.2835
1738121284.936417,-0.1347
1738121284.938419,-0.2151
1738121284.9394176,-0.2176
1738121284.9963086,-0.149
1738121285.000311,-0.1778
1738121285.0023115,-0.2188
1738121285.056541,-0.2583
1738121285.0585454,-0.1934
1738121285.060549,-0.2683
1738121285.1156807,-0.2868
1738121285.1177166,-0.2501
1738121285.119754,-0.2696
1738121285.1762285,-0.2082
1738121285.1782382,-0.2665
1738121285.1802287,-0.1986
1738121285.2361274,-0.2051
1738121285.2381284,-0.2601
1738121285.2391603,-0.3426
1738121285.29601,-0.4227
1738121285.2980134,-0.5033
1738121285.3000107,-0.3133
1738121285.355954,-0.4013
1738121285.357956,-0.3216
1738121285.3599584,-0.5165
1738121285.4161162,-0.381
1738121285.4183424,-0.4109
1738121285.4193513,-0.2846
1738121285.476726,-0.1408
1738121285.4787316,-0.2028
1738121285.4807286,-0.1448
1738121285.5360334,-0.2026
1738121285.538036,-0.2779
1738121285.5400345,-0.0511
1738121285.5959616,-0.1137
1738121285.597963,-0.5646
1738121285.6000032,-0.3526
1738121285.656225,-0.2688
1738121285.658244,-0.027
1738121285.6602366,-0.2748
1738121285.716474,-0.2023
1738121285.7184758,0.0449
1738121285.7194724,0.1267
1738121285.7761974,0.2106
1738121285.7781966,0.2362
1738121285.7797134,0.2343
1738121285.836149,0.2297
1738121285.838157,0.0536
1738121285.8391588,0.1621
1738121285.897026,0.2827
1738121285.9000664,0.3596
1738121285.9030352,0.2132
1738121285.9561512,-0.0018
1738121285.9591491,0.1523
1738121285.9611497,0.1229
1738121286.0166488,-0.0049
1738121286.0176544,-0.3481
1738121286.0196486,-0.3923
1738121286.0768907,-0.3
1738121286.0778883,-0.2203
1738121286.0798862,-0.0428
1738121286.1361127,-0.2698
1738121286.1381247,0.1438
1738121286.1391263,1.2747
1738121286.1957858,-0.8009
1738121286.1977868,-1.9038
1738121286.1997938,-4.6288
1738121286.256082,-6.8437
1738121286.2580993,-6.8024
1738121286.260095,-4.55
1738121286.3170574,-2.7207
1738121286.318538,-2.7187
1738121286.3203993,-0.7432
1738121286.3770018,-0.1434
1738121286.377957,-1.5277
1738121286.379732,-1.3575
1738121286.4369187,-1.8453
1738121286.4389184,-1.1719
1738121286.440923,-1.9734
1738121286.4962254,-1.8036
1738121286.4982216,-3.7377
1738121286.5002253,-3.0904
1738121286.5560508,-3.8083
1738121286.5580554,-4.8533
1738121286.5600553,-5.9468
1738121286.6162124,-7.4712
1738121286.618178,-10.3881
1738121286.6196315,-9.8648
1738121286.6765382,-7.9016
1738121286.7363188,-7.9895
1738121286.738351,-8.0895
1738121286.7403166,-4.0556
1738121286.7964025,1.306
1738121286.7983587,0.4344
1738121286.800363,-4.5616
1738121286.8569517,-12.6229
1738121286.8579865,-15.4283
1738121286.8599436,-21.3674
1738121286.9169729,-26.9468
1738121286.9189303,-31.9619
1738121286.9199705,-34.5591
1738121286.9758947,-38.1344
1738121286.9784174,-41.3842
1738121286.9810333,-43.0721
1738121287.036879,-41.6183
1738121287.0378795,-41.616
1738121287.0398824,-40.1387
1738121287.0962436,-35.8218
1738121287.0982533,-34.0924
1738121287.1002555,-31.271
1738121287.1562107,-28.7968
1738121287.1581717,-26.9088
1738121287.1601892,-24.7331
1738121287.2163422,-20.9917
1738121287.2183454,-16.7221
1738121287.2193458,-12.5549
1738121287.2759058,-9.482
1738121287.2784293,-7.1551
1738121287.279428,-3.6956
1738121287.3366563,-1.5816
1738121287.3386126,-3.8705
1738121287.3396106,-2.4192
1738121287.3968773,-6.6921
1738121287.3989255,-3.5354
1738121287.4008732,-6.9445
1738121287.4568827,-9.2127
1738121287.4588768,-11.7474
1738121287.4608777,-13.4194
1738121287.51627,-17.2588
1738121287.518271,-16.2286
1738121287.5202765,-18.2344
1738121287.5759883,-19.9414
1738121287.5779827,-19.4138
1738121287.5794914,-19.1424
1738121287.636283,-17.1386
1738121287.6382816,-20.1829
1738121287.640287,-15.8917
1738121287.6957355,-16.5276
1738121287.6977448,-14.7255
1738121287.699738,-15.8164
1738121287.7564769,-13.0906
1738121287.7584808,-8.693
1738121287.759478,-11.8979
1738121287.8164299,-12.6353
1738121287.8184257,-11.9579
1738121287.8194642,-14.4493
1738121287.8764899,-14.608
1738121287.8774908,-17.3279
1738121287.8800132,-17.9491
1738121287.9361331,-16.9667
1738121287.938138,-20.6007
1738121287.939138,-24.4598
1738121287.9967115,-25.7012
1738121287.9977548,-24.1613
1738121287.9997108,-21.718
1738121288.0562997,-20.8301
1738121288.058303,-23.214
1738121288.0603013,-24.1022
1738121288.1161335,-24.826
1738121288.1181326,-24.8751
1738121288.121131,-23.9202
1738121288.1761675,-15.9812
1738121288.178168,-14.698
1738121288.1796749,-8.4982
1738121288.2368028,-6.4918
1738121288.238803,-2.0027
1738121288.2408075,0.5252
1738121288.2961972,2.1033
1738121288.298197,0.3374
1738121288.3002002,1.6063
1738121288.3562105,-0.0543
1738121288.3581696,-1.1078
1738121288.3591697,-1.1768
1738121288.416887,-3.9619
1738121288.4179149,-3.0728
1738121288.4188766,-3.1179
