tMillis,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,ax_cal,ay_cal,az_cal,gx_cal,gy_cal,gz_cal,acc_mag,gyro_mag,acc_mag_mean,acc_mag_std,gyro_mag_mean,gyro_mag_std,acc_grav_error,is_still_method1,is_still_method2,is_still_combined,roll_simple,pitch_simple,az_vertical,az_vertical_corrected,vel_integrated,vel_integrated_reset,vel_integrated_corrected,is_rolling,pull_start_acc_0.5,pull_start_acc_1.0,pull_start_acc_1.5,pull_start_acc_2.0
673642.0,0.1011962890625,0.814453125,0.818603515625,21.362302780151367,6.896972179412842,-7.446288585662842,0.8501361328125,0.6887118164062499,1.3303854492187501,0.35873841922881733,0.12361327660067263,-0.13526726954646381,1.722492628101486,0.4028284123461263,1.6641687313185731,0.5463082094302054,0.44273378864843166,0.2634979565037296,0.8244146148724275,0,0,0,165.306699911709,2.3833201350425193,1.3303854492187501,-8.47961455078125,-125.54352539121068,-65.49788051822024,-570.1470619554966,0,0,0,0,0
673658.0,0.1180419921875,0.822998046875,0.8475341796875,23.437498092651367,6.530761241912842,-7.263183116912842,1.01539248046875,0.7725374999999999,1.614195263671875,0.394957410053895,0.11722168998448246,-0.13207147623836873,2.0575379528843314,0.432637440815148,1.7125043497970638,0.5242001511127942,0.474078511321263,0.2685250420009131,0.7902611668823312,0,0,0,165.306699911709,2.3833201350425193,1.614195263671875,-8.195804736328125,-125.51769826699193,-65.47205339400149,-570.2781948312779,0,0,0,1,0
673692.0,0.12841796875,0.8297119140625,0.8544921875,27.526853561401367,4.638671875,-5.920409679412842,1.117180810546875,0.8384005371093749,1.6824533203125,0.4663301272680186,0.08419850078987831,-0.10863565864567144,2.186700162141581,0.4861634308156552,1.7507795059808278,0.5272824669768972,0.5091426809522822,0.26136606865124473,0.7770947846950478,0,0,0,165.306699911709,2.3833201350425193,1.6824533203125,-8.1275466796875,-125.4604948541013,-65.41484998111086,-570.5545314183873,0,0,0,0,0
673756.0,0.120361328125,0.87109375,0.8824462890625,33.935546875,1.6479490995407104,-3.112792730331421,1.038145166015625,1.24435634765625,1.9566830566406253,0.5781829263408602,0.032000541343730635,-0.05963349874940266,2.5406252556838274,0.582130299101041,1.794584124248597,0.5238967791848124,0.5431669098454108,0.2462199636787542,0.7410167935082745,0,0,0,165.306699911709,2.3833201350425193,1.9566830566406253,-7.853316943359375,-125.3352671384763,-65.28962226548586,-571.0571437027623,1,0,0,0,0
673788.0,0.0955810546875,0.864990234375,0.8828125,38.57421875,-0.4272460639476776,-1.7700194120407104,0.79505068359375,1.184480859375,1.9602755859375,0.6591430234792691,-0.0042184468806037555,-0.03619768323729997,2.4244135102187574,0.6601496746702408,1.845529698791579,0.5032572016952569,0.5712751967907072,0.23112332537525607,0.7528630468686283,0,0,0,165.306699911709,2.3833201350425193,1.9602755859375,-7.8497244140625,-125.2725383197263,-65.22689344673586,-571.3083348840123,1,0,0,0,0
673888.0,0.0587158203125,0.82421875,0.8851318359375,46.874996185302734,-3.540038824081421,-0.30517578125,0.43340273437500004,0.7845125976562499,1.9830282714843752,0.8040189202005523,-0.05854692947717966,-0.010631338853133885,2.17616614061321,0.8062178318280229,1.9061990562434268,0.47943792179136463,0.5970403284493054,0.21313531005427097,0.7781685891321906,0,0,0,165.306699911709,2.3833201350425193,1.9830282714843752,-7.826971728515625,-125.07423549257786,-65.02859061958742,-572.0910320568639,1,0,0,0,0
673905.0,0.0465087890625,0.78125,0.85498046875,47.546382904052734,-3.173827886581421,-0.9765624403953552,0.31365175781250004,0.3629891601562499,1.687243359375,0.8157368289969009,-0.05215534286098949,-0.022349246609185233,1.754117644094844,0.8177079202226579,1.990777919613994,0.4197880638489513,0.6178108564845025,0.195233684030018,0.8211908619679058,0,0,0,165.306699911709,2.3833201350425193,1.687243359375,-8.122756640625001,-125.04555235546849,-64.99990748247805,-572.2291189197546,1,0,0,0,0
673938.0,0.0498046875,0.8126220703125,0.910888671875,48.156734466552734,-2.929687261581421,-1.4648436307907104,0.34598452148437503,0.6707491699218749,2.23570283203125,0.826389473357218,-0.04789428511686271,-0.030871361057141493,2.359656095961911,0.8283516554917941,2.0929512697784953,0.3693552053406815,0.6328344716434967,0.17893835841412067,0.7594642104014362,0,0,0,165.306699911709,2.3833201350425193,2.23570283203125,-7.5742971679687505,-124.97177416201146,-64.92612928902102,-572.4790707262976,1,0,0,0,1
673955.0,0.0517578125,0.7962646484375,0.905517578125,48.339839935302734,-3.173827886581421,-1.15966796875,0.36514467773437503,0.510282861328125,2.18301240234375,0.8295852666653131,-0.05215534286098949,-0.02554504095757762,2.271400973634904,0.8316155623691937,2.168906164220168,0.35850946207744083,0.6430095602658883,0.16488082270968693,0.7684606550830883,0,0,0,165.306699911709,2.3833201350425193,2.18301240234375,-7.6269875976562505,-124.93466295117162,-64.88901807818118,-572.6087295154578,1,0,0,0,0
673971.0,0.0516357421875,0.7396240234375,0.8775634765625,47.851558685302734,-2.929687261581421,-1.5258787870407104,0.36394716796875004,-0.04536166992187513,1.908782666015625,0.8210631511770595,-0.04789428511686271,-0.031936625493173186,1.9436991763779425,0.8230786771722066,2.235260587945123,0.35702773670895244,0.6499646735486472,0.15453766826770768,0.8018655273824727,0,0,0,165.306699911709,2.3833201350425193,1.908782666015625,-7.901217333984375,-124.90412242851536,-64.85847755552493,-572.7351489928016,1,0,0,0,0
673987.0,0.051513671875,0.71923828125,0.874267578125,47.363277435302734,-2.685546636581421,-1.7700194120407104,0.36274965820312505,-0.24534580078125015,1.8764499023437502,0.8125410356888059,-0.04363322737273593,-0.03619768323729997,1.9268747007767129,0.8145164611479293,2.3031657779528643,0.35151911409349657,0.6503199171060219,0.15393052194818313,0.8035805605732199,0,0,0,165.306699911709,2.3833201350425193,1.8764499023437502,-7.9335500976562505,-124.87409923007786,-64.82845435708742,-572.862085794364,1,0,0,0,0
674007.0,0.058349609375,0.69091796875,0.8917236328125,45.837398529052734,-2.50244140625,-2.197265625,0.42981020507812506,-0.5231680664062501,2.047693798828125,0.7859094247880135,-0.04043743822583005,-0.04365453637011644,2.156731678224186,0.7881589490239795,2.375605474162062,0.3730158127742958,0.6430617161821821,0.1681910813824189,0.7801496760219994,0,0,0,165.306699911709,2.3833201350425193,2.047693798828125,-7.762306201171875,-124.83314535410129,-64.78750048111085,-573.0173319183874,1,0,0,0,0
674029.0,0.06005859375,0.661865234375,0.8831787109375,43.823238372802734,-2.868652105331421,-2.13623046875,0.446575341796875,-0.8081753906250002,1.963868115234375,0.7507556983989676,-0.046829020680831016,-0.042589271934084745,2.1701048297137824,0.7534194860370435,2.4390721565388462,0.4186881793787076,0.6318446296587205,0.18814773991431996,0.7787864597641404,0,0,0,165.306699911709,2.3833201350425193,1.963868115234375,-7.846131884765626,-124.78994025556614,-64.7442953825757,-573.1899468198523,1,0,0,0,0
674045.0,0.0587158203125,0.6275634765625,0.859619140625,41.320796966552734,-2.685546636581421,-2.50244140625,0.43340273437500004,-1.1446756347656253,1.73274873046875,0.707079856521668,-0.04363322737273593,-0.04898085855027491,2.121447242316169,0.7101161218659844,2.499755174809784,0.46328883893338,0.6151052831253109,0.21354319680450046,0.7837464584794935,0,0,0,165.306699911709,2.3833201350425193,1.73274873046875,-8.077251269531251,-124.76221627587864,-64.7165714028882,-573.3191828401648,1,0,0,0,0
674062.0,0.0626220703125,0.621337890625,0.87548828125,39.97802734375,-2.563476324081421,-2.563476324081421,0.47172304687500005,-1.2057486328125002,1.8884250000000002,0.683644105507998,-0.041502698500672536,-0.050046118825117406,2.289650929532108,0.6867287317333725,2.539496271360419,0.4978882728948596,0.5920414515306566,0.2392250448572119,0.7666003129936689,0,0,0,165.306699911709,2.3833201350425193,1.8884250000000002,-7.921575000000001,-124.73011305087864,-64.6844681778882,-573.4538496151648,1,0,0,0,0
